new_id,hotel_name,overall_rating,total_n_reviews,hotel_class,rooms,location,service,5star,4star,3star,2star,1star
*001,The Publishing House Bed and Breakfast,5,222,x,x,x,x,100%,0%,0%,0%,0%
*002,The Peninsula Chicago,4.7,2140,5-star hotel,4.6,4.6,4.2,82%,14%,3%,0%,1%
*003,"The Langham, Chicago",4.7,1741,5-star hotel,4.4,5%,4.6,85%,11%,3%,0%,1%
*004,Waldorf Astoria Chicago,4.7,1325,5-star hotel,3.8,4.8,4,85%,9%,3%,1%,2%
*005,Four Seasons Hotel Chicago,4.7,1037,5-star hotel,3.7,4.8,3,82%,14%,2%,0%,2%
*006,"Hotel EMC2, Autograph Collection",4.7,962,4-star hotel,3.9,4.8,4.3,82%,13%,3%,1%,1%
*007,Ray's Bucktown Bed and Breakfast,4.9,173,3-star hotel,5%,4.6,5%,92%,7%,0%,1%,0%
*008,Union League Club,4.7,922,x,4.3,4.5,5%,80%,16%,3%,0%,1%
*009,The Guesthouse Hotel,4.8,289,4-star hotel,4.2,3.7,5%,86%,11%,2%,1%,0%
*010,Viceroy Chicago,4.7,754,5-star hotel,4.1,4.6,4.3,83%,12%,3%,0%,2%
*011,Park Hyatt Chicago,4.7,711,5-star hotel,3.8,5%,3.4,78%,17%,3%,1%,1%
*012,Villa D' Citta Bed & Breakfast,4.8,249,4-star hotel,4.8,5%,4.5,93%,3%,1%,2%,1%
*013,Chicago Athletic Association - In the Unbound Collection by Hyatt,4.6,2983,4-star hotel,3.5,4.6,4.5,76%,19%,3%,1%,1%
*014,Sofitel Chicago Magnificent Mile,4.6,2680,5-star hotel,4,5%,4.1,71%,22%,4%,1%,2%
*015,Loews Chicago Hotel,4.6,2537,4-star hotel,4.1,4.4,4.2,77%,17%,3%,1%,2%
*016,Marriott Marquis Chicago,4.6,2413,4-star hotel,4.3,4.1,4.8,75%,19%,3%,1%,2%
*017,Longman & Eagle,4.6,2284,x,x,x,x,77%,17%,4%,1%,1%
*018,Residence Inn Chicago Downtown/Loop,4.6,1665,3-star hotel,3.6,5%,4.3,69%,24%,4%,1%,2%
*019,Kimpton Gray Hotel,4.6,1471,4-star hotel,3.6,4.6,4,74%,20%,4%,1%,1%
*020,"The Ritz-Carlton, Chicago",4.6,1159,5-star hotel,4.3,5%,3.9,77%,15%,4%,1%,3%
*021,"Staypineapple, An Iconic Hotel, The Loop Chicago",4.6,1140,4-star hotel,3.7,5%,4.3,73%,20%,4%,1%,2%
*022,Kimpton Hotel Monaco Chicago,4.6,1133,4-star hotel,4.5,4.5,4.5,73%,21%,3%,1%,2%
*023,Conrad Chicago,4.6,1013,5-star hotel,5%,5%,5%,78%,15%,3%,1%,3%
*024,Hampton Inn & Suites Rosemont Chicago O'Hare,4.6,982,2-star hotel,4.4,3.9,4.5,71%,23%,3%,1%,2%
*025,The Polo Inn,4.7,264,x,x,x,x,80%,16%,4%,0%,0%
*026,Thompson Chicago,4.6,810,4-star hotel,4,5%,3.2,74%,19%,3%,2%,2%
*027,Moxy Chicago Downtown,4.6,658,3-star hotel,3.2,4.8,5%,73%,19%,4%,1%,3%
*028,Chicago Guest House,5,81,4-star hotel,5%,5%,5%,100%,0%,0%,0%,0%
*029,"Hotel Zachary, Chicago, a Tribute Portfolio Hotel",4.6,542,4-star hotel,3.8,4.1,4,79%,14%,3%,2%,2%
*030,Homewood Suites by Hilton Chicago Downtown West Loop,4.6,491,3-star hotel,3.7,4,3.5,72%,22%,4%,1%,1%
*031,"LondonHouse Chicago, Curio Collection by Hilton",4.5,4195,4-star hotel,4.2,5%,4,71%,20%,5%,1%,3%
*032,Loews Chicago O'Hare Hotel,4.5,3322,4-star hotel,4.2,4.4,4.2,67%,26%,5%,1%,1%
*033,Kasa Chicago River North,4.8,115,x,3.8,5%,4,94%,4%,0%,0%,2%
*034,Renaissance Chicago Downtown Hotel,4.5,2563,4-star hotel,4.2,4.6,4.2,69%,25%,4%,1%,1%
*035,Kasa Chicago South Loop,4.8,114,x,4,4.5,3.8,94%,4%,0%,0%,2%
*036,JW Marriott Chicago,4.5,2283,4-star hotel,4.1,4.3,3.9,70%,23%,4%,1%,2%
*037,Virgin Hotels Chicago,4.5,2232,4-star hotel,4.2,4.4,3.8,69%,23%,5%,1%,2%
*038,Hyatt Centric Chicago Magnificent Mile,4.5,2214,4-star hotel,3.5,5%,4.1,65%,26%,6%,1%,2%
*039,Omni Chicago Hotel,4.5,2045,4-star hotel,3.4,4.8,4.3,66%,24%,6%,2%,2%
*040,HI Chicago Hostel,4.5,1935,2-star hotel,2.8,4.8,3.8,66%,24%,6%,2%,2%
*041,"The Blackstone, Autograph Collection",4.5,1726,4-star hotel,4,4,3.2,69%,23%,5%,2%,1%
*042,Residence Inn by Marriott Chicago Downtown/River North,4.5,1456,3-star hotel,3.5,5%,3.9,67%,25%,6%,1%,1%
*043,"Hotel Blake, an Ascend Hotel Collection Member",4.5,1287,3-star hotel,x,x,x,67%,25%,6%,1%,1%
*044,Royal Sonesta Chicago River North,4.5,1266,4-star hotel,3.3,4.4,4.2,66%,25%,5%,2%,2%
*045,The Sono Chicago,4.8,107,x,4.5,4.3,4.8,96%,2%,0%,0%,2%
*046,Aloft Chicago Downtown River North,4.5,1134,3-star hotel,3.7,4.4,4.5,64%,29%,4%,1%,2%
*047,Silversmith Hotel Chicago Downtown,4.5,1096,4-star hotel,4.2,4.6,3.3,67%,24%,5%,1%,3%
*048,Hampton Inn Chicago Downtown West Loop,4.5,1053,2-star hotel,3.8,3.5,4.1,69%,24%,4%,1%,2%
*049,ACME Hotel Company,4.5,1051,3-star hotel,3.7,5%,4.5,69%,24%,4%,1%,2%
*050,Fairfield Inn & Suites by Marriott Chicago Downtown/River North,4.5,970,3-star hotel,3.8,4.6,4.6,63%,28%,6%,1%,2%
*051,"The Gwen, a Luxury Collection Hotel, Michigan Avenue Chicago",4.5,861,4-star hotel,4.3,5%,4.2,75%,17%,4%,2%,2%
*052,The Leavitt Street Inn & Tavern,4.8,103,x,x,x,x,92%,5%,1%,0%,2%
*053,"The Rose Hotel Chicago O¡¯Hare, Tapestry Collection by Hilton",4.5,765,3-star hotel,3.8,4.4,4.4,75%,15%,4%,3%,3%
*054,The Robey,4.5,757,4-star hotel,3.8,5%,3.5,73%,20%,3%,1%,3%
*055,Talbott Hotel - Chicago Gold Coast,4.5,736,4-star hotel,3.4,5%,4,71%,19%,5%,2%,3%
*056,Nobu Hotel Chicago,4.6,203,x,4.3,5%,4.5,82%,8%,5%,1%,4%
*057,Sophy Hyde Park,4.5,490,4-star hotel,4.2,4.4,4.2,72%,20%,3%,2%,3%
*058,Residence Inn by Marriott Chicago Wilmette/Skokie,4.5,483,3-star hotel,3.8,4.5,4.6,68%,22%,6%,1%,3%
*059,Hyatt House Chicago/Evanston,4.5,485,3-star hotel,3.6,4.4,4.3,68%,23%,5%,2%,2%
*060,Hyatt Regency Chicago,4.4,8873,4-star hotel,2.9,4.2,4.1,61%,28%,7%,2%,2%
*061,Hyatt Regency O'Hare Chicago,4.4,5864,4-star hotel,3.5,3.9,4.3,62%,28%,7%,1%,2%
*062,Hyatt Regency McCormick Place,4.4,5542,4-star hotel,3.5,3.8,4.4,61%,28%,6%,2%,3%
*063,Swissotel Chicago,4.4,4594,4-star hotel,4.1,3.8,3.8,63%,25%,6%,2%,4%
*064,"InterContinental Chicago Magnificent Mile, an IHG Hotel",4.4,3956,4-star hotel,3.3,5%,4,62%,27%,7%,2%,2%
*065,The Drake,4.4,3859,4-star hotel,2.5,4.4,3.8,65%,22%,7%,3%,3%
*066,Embassy Suites by Hilton Chicago Downtown Magnificent Mile,4.4,2846,3-star hotel,3.2,4.4,4,60%,28%,7%,2%,3%
*067,theWit Chicago - a DoubleTree by Hilton Hotel,4.4,2654,4-star hotel,4,4.8,4,63%,25%,7%,2%,3%
*068,"Hotel Chicago Downtown, Autograph Collection",4.4,2269,4-star hotel,3.9,5%,4.3,62%,29%,7%,1%,1%
*069,"Radisson Blu Aqua Hotel, Chicago",4.4,2252,4-star hotel,3.1,4.4,3.2,66%,21%,7%,2%,4%
*070,Fairmont Chicago - Millennium Park,4.4,2233,4-star hotel,3.5,4.2,4.1,61%,28%,7%,2%,2%
*071,The Westin Chicago River North,4.4,1749,4-star hotel,4.2,4.4,5%,59%,30%,7%,3%,1%
*072,Hotel Lincoln,4.4,1663,4-star hotel,3,5%,4.4,65%,23%,7%,2%,3%
*073,Hilton Garden Inn Chicago OHare Airport,4.4,1471,3-star hotel,4.6,3.6,4.3,61%,27%,7%,2%,3%
*074,Courtyard by Marriott Chicago Downtown/Magnificent Mile,4.4,1444,3-star hotel,3.5,4.4,3.1,59%,31%,6%,2%,2%
*075,Hampton Inn Chicago-O'Hare International Airport,4.4,1424,3-star hotel,4.1,4.2,4.8,59%,28%,9%,2%,2%
*076,Chicago Marriott Suites O'Hare,4.4,1347,4-star hotel,4,3.5,3.5,65%,26%,5%,1%,3%
*077,Kinzie Hotel,4.4,1328,4-star hotel,3.8,4.6,4.4,63%,26%,6%,2%,3%
*078,Wicker Park Inn,4.6,142,2-star hotel,4.6,4.4,4,81%,12%,4%,3%,0%
*079,Hampton Inn & Suites Chicago-North Shore/Skokie,4.4,1285,3-star hotel,4.2,5%,4.2,62%,29%,6%,1%,2%
*080,SpringHill Suites by Marriott Chicago Downtown/River North,4.4,1237,3-star hotel,3.5,5%,2.9,61%,28%,6%,2%,3%
*081,Hyatt Centric The Loop Chicago,4.4,1192,4-star hotel,3.6,4.3,3.3,58%,31%,6%,2%,3%
*082,Hyatt Place Chicago/River North,4.4,1152,3-star hotel,3.7,4.6,4.1,59%,30%,7%,2%,2%
*083,Cambria Hotel Chicago Loop - Theatre District,4.4,1151,3-star hotel,3.6,4.8,3.6,65%,25%,5%,2%,3%
*084,Hyatt Place Chicago/Midway Airport,4.4,1031,3-star hotel,3.2,4.5,4.1,64%,23%,7%,2%,4%
*085,Hampton Inn Majestic Chicago Theatre District,4.4,921,3-star hotel,4.3,4.6,5%,62%,29%,6%,2%,1%
*086,Hampton Inn Chicago North-Loyola Station,4.4,844,3-star hotel,4,4.1,3.7,67%,21%,6%,2%,4%
*087,Hyatt Place Chicago / Wicker Park,4.6,130,3-star hotel,4.2,4.4,4.4,77%,16%,3%,1%,3%
*088,DoubleTree by Hilton Chicago Midway Airport,4.4,659,3-star hotel,4.5,5,4.8,61%,29%,6%,1%,3%
*089,Hyatt Place Chicago-South/University Medical Center,4.4,653,3-star hotel,3.2,4,4,62%,26%,6%,2%,4%
*090,Ambiance,4.4,584,2-star hotel,x,x,x,75%,14%,4%,1%,6%
*091,SpringHill Suites by Marriott Chicago Chinatown,4.6,118,2-star hotel,4.8,4.2,5%,79%,15%,2%,2%,2%
*092,"Sable at Navy Pier Chicago, Curio Collection by Hilton",4.4,494,x,4.2,4.2,4,69%,17%,6%,4%,4%
*093,Residence Inn by Marriott Chicago Midway Airport,4.4,456,3-star hotel,3.5,4.5,4.4,66%,21%,7%,3%,3%
*094,"The Hoxton, Chicago",4.4,417,4-star hotel,3.2,4.6,2.5,70%,18%,5%,2%,5%
*095,Quadrangle Club,4.5,160,3-star hotel,x,x,x,64%,29%,6%,0%,1%
*096,Hyatt House Chicago / West Loop-Fulton Market,4.4,340,3-star hotel,4.1,4,3.7,72%,14%,4%,3%,7%
*097,Palmer House a Hilton Hotel,4.3,9722,4-star hotel,2.5,4.4,3.3,59%,26%,9%,3%,3%
*098,Hilton Chicago,4.3,7306,4-star hotel,3.4,4.4,4.4,60%,27%,8%,2%,3%
*099,Sheraton Grand Chicago,4.3,5064,4-star hotel,3.2,4.4,3.8,56%,29%,9%,3%,3%
*100,The Westin O'Hare,4.3,2758,4-star hotel,4.3,4.2,2.8,59%,29%,7%,2%,3%
*101,Chicago Marriott Downtown Magnificent Mile,4.3,2747,4-star hotel,3.5,4.6,4,59%,28%,7%,3%,3%
*102,Royal Sonesta Chicago Downtown,4.3,2702,4-star hotel,3.7,4.2,3.5,58%,27%,8%,3%,4%
*103,Embassy Suites by Hilton Chicago Downtown,4.3,2697,3-star hotel,2.6,4.5,3.7,56%,28%,8%,3%,5%
*104,"Holiday Inn Chicago-Mart Plaza River North, an IHG Hotel",4.3,2653,3-star hotel,4,4.3,4,55%,33%,8%,2%,2%
*105,The Allegro Royal Sonesta Hotel Chicago Loop,4.3,2364,4-star hotel,2.8,5%,3.2,58%,29%,7%,3%,3%
*106,DoubleTree by Hilton Hotel Chicago O'Hare Airport - Rosemont,4.3,2227,4-star hotel,3.5,4,3.8,58%,30%,7%,2%,3%
*107,The Westin Michigan Avenue Chicago,4.3,1934,4-star hotel,3.5,4.1,3.8,58%,30%,7%,2%,3%
*108,Hyatt Place Chicago/O'Hare Airport,4.3,1826,3-star hotel,3.8,3.8,4.1,58%,27%,8%,2%,5%
*109,La Quinta Inn & Suites by Wyndham Chicago Downtown,4.3,1800,3-star hotel,3.3,4.2,2.6,55%,31%,7%,3%,4%
*110,Hilton Chicago/Magnificent Mile Suites,4.3,1750,4-star hotel,3.6,3.8,2.8,60%,27%,7%,2%,4%
*111,Sheraton Suites Chicago O'Hare,4.3,1602,4-star hotel,3.3,4.1,4.2,57%,28%,8%,3%,4%
*112,SpringHill Suites by Marriott Chicago O'Hare,4.2,1584,3-star hotel,3.5,3.8,4.2,53%,32%,9%,3%,3%
*113,Hyatt Place Chicago/Downtown-The Loop,4.3,1571,3-star hotel,3.2,4.3,3.5,62%,25%,6%,2%,5%
*114,Courtyard by Marriott Chicago Downtown/River North,4.3,1489,3-star hotel,2.8,4.2,3.2,53%,31%,11%,2%,3%
*115,Ambassador Chicago,4.3,1358,4-star hotel,3.4,5%,4.6,58%,26%,10%,3%,3%
*116,AC Hotel Chicago Downtown,4.3,1340,3-star hotel,3.5,4.8,3.5,58%,27%,9%,2%,4%
*117,Homewood Suites by Hilton Chicago-Downtown,4.3,1250,3-star hotel,3.3,4.6,2.7,57%,27%,10%,2%,4%
*118,Hampton Inn Chicago Downtown/N Loop/Michigan Ave,4.3,1179,3-star hotel,3,4.4,3.9,57%,27%,10%,2%,4%
*119,Eurostars Magnificent Mile,4.3,1158,4-star hotel,x,x,x,64%,22%,5%,3%,6%
*120,Hilton Garden Inn Chicago Downtown Riverwalk,4.3,1120,3-star hotel,3.5,4.6,3.7,54%,33%,8%,2%,3%
*121,Fairfield Inn & Suites by Marriott Chicago Downtown/Magnificent Mile,4.3,1081,3-star hotel,3,4.5,4.4,53%,33%,9%,3%,2%
*122,BEST WESTERN PLUS Hawthorne Terrace,4.3,1002,3-star hotel,4,4.6,4.3,61%,25%,7%,3%,4%
*123,Hampton Inn Chicago-Midway Airport,4.3,991,3-star hotel,3.8,3.9,4,57%,28%,7%,3%,5%
*124,Sonesta ES Suites Chicago Downtown,4.3,846,3-star hotel,3.2,4.4,3.6,59%,27%,8%,2%,4%
*125,Residence Inn by Marriott Chicago O'Hare,4.3,745,3-star hotel,3.3,3.8,4.3,55%,29%,10%,2%,4%
*126,"Holiday Inn Express & Suites Chicago North Shore - Niles, an IHG Hotel",4.3,743,2-star hotel,3.2,5%,3.8,66%,20%,6%,2%,6%
*127,"Margarita European Inn, Ascend Hotel Collection",4.4,198,2-star hotel,4.2,3.8,4.6,61%,28%,6%,2%,3%
*128,Wrigley Hostel - Chicago,4.3,632,3-star hotel,3.2,5%,4.2,63%,22%,6%,3%,6%
*129,The Carleton of Oak Park Hotel,4.3,625,3-star hotel,3.8,4.8,4.2,56%,29%,8%,4%,3%
*130,The Willows Hotel,4.3,580,3-star hotel,3,4.4,4,61%,25%,9%,3%,2%
*131,Pendry Chicago,4.7,61,4-star hotel,x,x,x,82%,11%,3%,3%,1%
*132,Urban Holiday Lofts Chicago Hostel,4.3,442,3-star hotel,x,x,x,58%,28%,8%,3%,3%
*133,Hampton Inn Chicago McCormick Place,4.3,437,3-star hotel,3.6,3.2,3.8,61%,24%,7%,3%,5%
*134,Harvey House Inn,4.6,74,4-star hotel,4.4,4.8,5%,88%,4%,2%,0%,6%
